# Wavelength [nm]	Flux [erg s-1 cm-2 nm-1]
2.82500e+02	1.45239e+07
2.83000e+02	1.58506e+07
2.83500e+02	1.48983e+07
2.84000e+02	1.48428e+07
2.84500e+02	1.16210e+07
2.85000e+02	5.47766e+06
2.85500e+02	6.36518e+06
2.86000e+02	1.38952e+07
2.86500e+02	1.65532e+07
2.87000e+02	1.74638e+07
2.87500e+02	1.74823e+07
2.88000e+02	1.15747e+07
2.88500e+02	1.65855e+07
2.89000e+02	1.94191e+07
2.89500e+02	2.27011e+07
2.90000e+02	2.85532e+07
2.90500e+02	2.98567e+07
2.91000e+02	2.81834e+07
2.91500e+02	2.78274e+07
2.92000e+02	2.64777e+07
2.92500e+02	2.29507e+07
2.93000e+02	2.62188e+07
2.93500e+02	2.66256e+07
2.94000e+02	2.32928e+07
2.94500e+02	2.51187e+07
2.95000e+02	2.38521e+07
2.95500e+02	2.69076e+07
2.96000e+02	2.87057e+07
2.96500e+02	2.27704e+07
2.97000e+02	1.96040e+07
2.97500e+02	2.76241e+07
2.98000e+02	2.57797e+07
2.98500e+02	1.75100e+07
2.99000e+02	2.66580e+07
2.99500e+02	2.41017e+07
3.00000e+02	1.92573e+07
3.00500e+02	2.02974e+07
3.01000e+02	2.28305e+07
3.01500e+02	2.44761e+07
3.02000e+02	1.73020e+07
3.02500e+02	2.51325e+07
3.03000e+02	3.12805e+07
3.03500e+02	3.18305e+07
3.04000e+02	2.66764e+07
3.04500e+02	2.99584e+07
3.05000e+02	3.11048e+07
3.05500e+02	2.83082e+07
3.06000e+02	2.50632e+07
3.06500e+02	2.70740e+07
3.07000e+02	2.97781e+07
3.07500e+02	3.01156e+07
3.08000e+02	3.03375e+07
3.08500e+02	3.14422e+07
3.09000e+02	2.59738e+07
3.09500e+02	2.37273e+07
3.10000e+02	2.14854e+07
3.10500e+02	3.30231e+07
3.11000e+02	3.80709e+07
3.11500e+02	3.53298e+07
3.12000e+02	2.96626e+07
3.12500e+02	3.21957e+07
3.13000e+02	3.28660e+07
3.13500e+02	3.35224e+07
3.14000e+02	3.66610e+07
3.14500e+02	2.73976e+07
3.15000e+02	3.48352e+07
3.15500e+02	3.14330e+07
3.16000e+02	2.39446e+07
3.16500e+02	3.06379e+07
3.17000e+02	3.80154e+07
3.17500e+02	4.06688e+07
3.18000e+02	2.93159e+07
3.18500e+02	3.15254e+07
3.19000e+02	3.48074e+07
3.19500e+02	3.15671e+07
3.20000e+02	3.86580e+07
3.20500e+02	4.19538e+07
3.21000e+02	3.30555e+07
3.21500e+02	3.11973e+07
3.22000e+02	3.76549e+07
3.22500e+02	3.24176e+07
3.23000e+02	2.95794e+07
3.23500e+02	3.15671e+07
3.24000e+02	3.61110e+07
3.24500e+02	3.82003e+07
3.25000e+02	3.62404e+07
3.25500e+02	4.35023e+07
3.26000e+02	4.86287e+07
3.26500e+02	4.60771e+07
3.27000e+02	4.66410e+07
3.27500e+02	4.60355e+07
3.28000e+02	4.40478e+07
3.28500e+02	4.22127e+07
3.29000e+02	4.73344e+07
3.29500e+02	5.26503e+07
3.30000e+02	5.37134e+07
3.30500e+02	4.49538e+07
3.31000e+02	4.64561e+07
3.31500e+02	4.53698e+07
3.32000e+02	4.65024e+07
3.32500e+02	4.49353e+07
3.33000e+02	4.52543e+07
3.33500e+02	4.23606e+07
3.34000e+02	4.35301e+07
3.34500e+02	4.80740e+07
3.35000e+02	4.40848e+07
3.35500e+02	4.95532e+07
3.36000e+02	3.41880e+07
3.36500e+02	4.18290e+07
3.37000e+02	3.47889e+07
3.37500e+02	4.34145e+07
3.38000e+02	4.09738e+07
3.38500e+02	4.57812e+07
3.39000e+02	4.53375e+07
3.39500e+02	4.33590e+07
3.40000e+02	5.23729e+07
3.40500e+02	4.69646e+07
3.41000e+02	4.45609e+07
3.41500e+02	4.10478e+07
3.42000e+02	4.89985e+07
3.42500e+02	4.57766e+07
3.43000e+02	5.01079e+07
3.43500e+02	4.70108e+07
3.44000e+02	3.54268e+07
3.44500e+02	3.47381e+07
3.45000e+02	4.61372e+07
3.45500e+02	4.70570e+07
3.46000e+02	3.99384e+07
3.46500e+02	4.51433e+07
3.47000e+02	4.82589e+07
3.47500e+02	3.88937e+07
3.48000e+02	4.43621e+07
